epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,313.375,0.99435,2.67757,1.34743,0.45274,0.11655,0.08503,0.04497,1.56585,3.49162,2.11236,0.0671398,0.000331921,0.000331921
2,625.445,1.01498,2.04457,1.35972,0.35291,0.18877,0.13109,0.09298,1.10551,3.20774,1.59308,0.0341265,0.000651956,0.000651956
3,919.425,1.0476,2.01712,1.37772,0.32442,0.2244,0.14476,0.096,1.26202,3.02428,1.70204,0.00109991,0.000958664,0.000958664
4,1200.87,1.03324,1.91887,1.36796,0.28499,0.17506,0.11633,0.07537,1.52182,3.34969,2.35611,0.00094003,0.00094003,0.00094003
5,1482.41,0.99126,1.79314,1.33906,0.39966,0.17523,0.14019,0.10291,1.09026,3.24421,1.58695,0.00092004,0.00092004,0.00092004
6,1767.14,0.97321,1.70347,1.32659,0.39351,0.261,0.21781,0.15357,1.22186,2.69683,1.7389,0.00090005,0.00090005,0.00090005
7,2053.38,0.94648,1.63139,1.304,0.43281,0.37588,0.32112,0.23964,0.97358,2.24539,1.45046,0.00088006,0.00088006,0.00088006
8,2342.44,0.91791,1.55065,1.29652,0.44771,0.38205,0.35286,0.27403,0.86519,2.06063,1.37734,0.00086007,0.00086007,0.00086007
9,2627.84,0.93392,1.53365,1.29585,0.45331,0.41074,0.38221,0.29523,0.89464,1.9814,1.38234,0.00084008,0.00084008,0.00084008
10,2913.74,0.91402,1.48007,1.28533,0.43801,0.36141,0.33563,0.25788,0.90294,2.30689,1.38367,0.00082009,0.00082009,0.00082009
11,3200.46,0.90317,1.44943,1.27948,0.49213,0.41371,0.40803,0.31876,0.8828,1.90862,1.37061,0.0008001,0.0008001,0.0008001
12,3485.53,0.89149,1.42335,1.27344,0.46986,0.39623,0.37866,0.29637,0.89998,2.12334,1.38342,0.00078011,0.00078011,0.00078011
13,3769.35,0.88463,1.37877,1.26781,0.53043,0.39749,0.40742,0.3228,0.84654,1.86373,1.33698,0.00076012,0.00076012,0.00076012
14,4054.96,0.88316,1.36176,1.26367,0.45997,0.46078,0.42427,0.33664,0.82744,1.7627,1.32888,0.00074013,0.00074013,0.00074013
15,4339.32,0.86883,1.34213,1.25297,0.51968,0.46455,0.46636,0.37609,0.78939,1.6352,1.28702,0.00072014,0.00072014,0.00072014
16,4618.91,0.86468,1.32059,1.25277,0.51403,0.49432,0.48294,0.38216,0.84052,1.62188,1.33705,0.00070015,0.00070015,0.00070015
17,4899.85,0.86782,1.28828,1.24465,0.54093,0.50202,0.51129,0.41213,0.77483,1.498,1.266,0.00068016,0.00068016,0.00068016
18,5181.03,0.85836,1.26074,1.24257,0.52063,0.53748,0.52003,0.42118,0.77021,1.48502,1.26904,0.00066017,0.00066017,0.00066017
19,5463.4,0.85516,1.25401,1.24486,0.55095,0.50004,0.50223,0.4083,0.76072,1.50734,1.2437,0.00064018,0.00064018,0.00064018
20,5749.09,0.83714,1.23606,1.2381,0.53919,0.5411,0.53202,0.43261,0.74993,1.41966,1.24449,0.00062019,0.00062019,0.00062019
21,6032.16,0.84078,1.19977,1.22705,0.55274,0.54247,0.53122,0.43585,0.74256,1.45204,1.24091,0.0006002,0.0006002,0.0006002
22,6312.32,0.84509,1.20385,1.23418,0.5698,0.50091,0.51671,0.41781,0.75379,1.50039,1.24954,0.00058021,0.00058021,0.00058021
23,6592.15,0.83909,1.18963,1.2357,0.55844,0.55976,0.54522,0.45031,0.71403,1.37718,1.2199,0.00056022,0.00056022,0.00056022
24,6876.5,0.82741,1.16624,1.21951,0.56128,0.52938,0.54811,0.4495,0.72094,1.41835,1.22232,0.00054023,0.00054023,0.00054023
